                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3568,                 4.3541,                 3.7985,                0.04731,                0.12555,                0.01862,                0.00547,                 2.8083,                   5.49,                 3.5004,             0.00041443,             0.00041443,             0.00041443
                      2,                  2.582,                 3.2225,                 2.8532,                0.19309,                0.27741,                0.14424,                0.05279,                 2.4612,                 3.1887,                 2.6549,             0.00082287,             0.00082287,             0.00082287
                      3,                 2.2708,                 2.6739,                 2.4467,                0.34143,                 0.3739,                0.26391,                0.10373,                 2.0915,                 2.7719,                 2.2922,              0.0012231,              0.0012231,              0.0012231
                      4,                  2.079,                 2.4013,                 2.2353,                0.40797,                0.44841,                0.35161,                0.15824,                 1.9416,                 2.1875,                 2.0836,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.9373,                 2.1656,                 2.0688,                0.46727,                0.42893,                0.41798,                0.19735,                  1.907,                 1.9566,                 2.0118,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.8467,                 1.9786,                 1.9569,                0.57578,                0.50803,                 0.5191,                0.25109,                 1.7923,                 1.7229,                  1.851,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.7836,                 1.8362,                 1.8901,                0.66909,                0.51331,                0.59707,                0.29423,                 1.7275,                 1.6775,                 1.8505,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.7247,                 1.7138,                 1.8236,                0.71635,                0.60245,                0.67446,                0.33072,                 1.6701,                 1.4673,                 1.7489,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.7009,                 1.6411,                 1.8065,                0.67671,                0.58643,                0.65487,                0.33232,                 1.6573,                 1.4489,                 1.7463,               0.001151,               0.001151,               0.001151
                     10,                 1.6464,                 1.5552,                 1.7637,                0.76209,                0.62878,                 0.7222,                0.36946,                 1.5756,                 1.3716,                 1.6789,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.6224,                 1.4836,                 1.7354,                0.84477,                0.59785,                0.73256,                0.37378,                 1.6425,                 1.3274,                 1.7225,              0.0011263,              0.0011263,              0.0011263
